PERSON_ID,PLAYER_FIRST_NAME,PLAYER_LAST_NAME,birthCountry,height,weight,POSITION,from_year,to_year,isG,isF,isC,season
1629644,KZ,Okpala,USA,6-8,215,Forward-Guard,2019.0,2022.0,1,1,0,2022-23
1628419,Cameron,Oliver,USA,6-8,239,Forward,2020.0,2021.0,0,1,0,2021-22
203482,Kelly,Olynyk,Canada,6-11,240,Forward-Center,2013.0,2023.0,0,1,1,2021-22
203482,Kelly,Olynyk,Canada,6-11,240,Forward-Center,2013.0,2023.0,0,1,1,2022-23
1629671,Miye,Oni,USA,6-5,206,Guard-Forward,2019.0,2021.0,1,1,0,2021-22
1626224,Cedi,Osman,Turkey,6-7,230,Forward,2017.0,2023.0,0,1,0,2021-22
1626224,Cedi,Osman,Turkey,6-7,230,Forward,2017.0,2023.0,0,1,0,2022-23
1630187,Daniel,Oturu,USA,6-8,240,Center,2020.0,2021.0,0,0,1,2021-22
1626162,Kelly,Oubre Jr.,USA,6-6,203,Forward-Guard,2015.0,2023.0,1,1,0,2021-22
1626162,Kelly,Oubre Jr.,USA,6-6,203,Forward-Guard,2015.0,2023.0,1,1,0,2022-23
1629873,Jaysean,Paige,USA,6-2,200,Guard,2021.0,2021.0,1,0,0,2021-22
1629309,Trayvon,Palmer,USA,6-6,200,Guard,2021.0,2021.0,1,0,0,2021-22
1630698,Kevin,Pangos,Canada,6-1,179,Guard,2021.0,2021.0,1,0,0,2021-22
203953,Jabari,Parker,USA,6-7,245,Forward,2014.0,2021.0,0,1,0,2021-22
1629672,Eric,Paschall,USA,6-6,255,Forward,2019.0,2021.0,0,1,0,2021-22
101108,Chris,Paul,USA,6-0,175,Guard,2005.0,2023.0,1,0,0,2021-22
101108,Chris,Paul,USA,6-0,175,Guard,2005.0,2023.0,1,0,0,2022-23
203901,Elfrid,Payton,USA,6-3,195,Guard,2014.0,2021.0,1,0,0,2021-22
1627780,Gary,Payton II,USA,6-2,195,Guard,2016.0,2023.0,1,0,0,2021-22
1627780,Gary,Payton II,USA,6-2,195,Guard,2016.0,2023.0,1,0,0,2022-23
203658,Norvel,Pelle,Antigua and Barbuda,6-10,231,Center,2019.0,2021.0,0,0,1,2021-22
1629617,Reggie,Perry,USA,6-8,250,Forward-Center,2020.0,2021.0,0,1,1,2021-22
1630691,Jamorko,Pickett,USA,6-9,206,Forward,2021.0,2021.0,0,1,0,2021-22
1629033,Theo,Pinson,USA,6-7,212,Guard-Forward,2018.0,2023.0,1,1,0,2021-22
1629033,Theo,Pinson,USA,6-7,212,Guard-Forward,2018.0,2023.0,1,1,0,2022-23
1630590,Scotty,Pippen Jr.,USA,6-1,170,Guard,2022.0,2023.0,1,0,0,2021-22
1630590,Scotty,Pippen Jr.,USA,6-1,170,Guard,2022.0,2023.0,1,0,0,2022-23
