player_id,year,FGA,FGM,FGA_3pt,FGM_3pt,eFG,three_rate
1628418,2023,339,211,39,14,0.6430678466076696,0.11504424778761062
1628419,2022,6,6,3,3,1.25,0.5
1628420,2022,691,338,271,136,0.5875542691751086,0.3921852387843705
1628420,2023,449,214,184,92,0.579064587973274,0.40979955456570155
1628422,2022,4,2,0,0,0.5,0.0
1628424,2023,5,1,1,1,0.3,0.2
1628425,2022,134,51,26,11,0.4216417910447761,0.19402985074626866
1628425,2023,4,0,0,0,0.0,0.0
1628427,2022,36,21,6,3,0.625,0.16666666666666666
1628427,2023,204,99,19,12,0.5147058823529411,0.09313725490196079
1628432,2022,142,72,44,22,0.5845070422535211,0.30985915492957744
1628432,2023,78,25,24,8,0.3717948717948718,0.3076923076923077
1628435,2023,5,3,0,0,0.6,0.0
1628436,2022,26,13,6,5,0.5961538461538461,0.23076923076923078
1628436,2023,164,109,42,24,0.7378048780487805,0.25609756097560976
1628449,2022,541,251,97,36,0.49722735674676527,0.17929759704251386
1628449,2023,465,226,93,42,0.5311827956989247,0.2
1628464,2022,253,132,36,23,0.567193675889328,0.1422924901185771
1628464,2023,44,21,5,3,0.5113636363636364,0.11363636363636363
1628467,2022,331,133,36,14,0.4229607250755287,0.10876132930513595
1628467,2023,156,70,19,10,0.4807692307692308,0.12179487179487179
1628470,2022,406,185,79,33,0.4963054187192118,0.19458128078817735
1628470,2023,449,202,90,38,0.4922048997772829,0.20044543429844097
1628476,2022,26,6,4,1,0.25,0.15384615384615385
1628537,2022,4,0,1,0,0.0,0.25
1628539,2022,59,19,10,5,0.3644067796610169,0.1694915254237288
1628591,2022,4,3,0,0,0.75,0.0
1628778,2022,34,12,2,1,0.36764705882352944,0.058823529411764705
1628960,2022,524,236,107,46,0.49427480916030536,0.20419847328244276
1628960,2023,510,225,90,36,0.4764705882352941,0.17647058823529413
1628962,2022,31,22,2,2,0.7419354838709677,0.06451612903225806
1628962,2023,70,57,5,4,0.8428571428571429,0.07142857142857142
1628963,2022,402,200,57,32,0.5373134328358209,0.1417910447761194
1628963,2023,317,168,61,33,0.582018927444795,0.19242902208201892
